iter	Logloss
0	0.6879276067
1	0.6822550444
2	0.6777167886
3	0.6728985756
4	0.6695676238
5	0.6647947746
6	0.660754763
7	0.6559739362
8	0.6514264661
9	0.6469829949
10	0.6423019246
11	0.6384355528
12	0.6340196943
13	0.6297481951
14	0.6249712043
15	0.6216469293
16	0.6184673664
17	0.6152257989
18	0.6114350688
19	0.6081451237
20	0.6061067694
21	0.6041073887
22	0.6009667609
23	0.5975586142
24	0.5945318063
25	0.5906478051
26	0.5871464227
27	0.5841606774
28	0.5808537519
29	0.5774574856
30	0.5758253354
31	0.5738044352
32	0.5703231743
33	0.5676666263
34	0.5649745637
35	0.5624357943
36	0.5600706906
37	0.5586686677
38	0.5565773011
39	0.5543588026
40	0.5530412627
41	0.5511462803
42	0.549239206
43	0.5466476855
44	0.5447676473
45	0.5423877663
46	0.5398208425
47	0.5376211798
48	0.5363973597
49	0.5347254864
50	0.5327332861
51	0.5306629296
52	0.5289696719
53	0.5272096931
54	0.5252949633
55	0.5236200166
56	0.5216558993
57	0.5193689829
58	0.5173711547
59	0.5151063093
60	0.513006324
61	0.5115222474
62	0.5098583134
63	0.5081033621
64	0.5063362725
65	0.5054269069
66	0.5037539018
67	0.5023182533
68	0.5006989285
69	0.4990872254
70	0.4984039416
71	0.4970753132
72	0.4958695625
73	0.4944882835
74	0.4934956033
75	0.4927027979
76	0.4916022573
77	0.4908136635
78	0.4902206374
79	0.4886410491
80	0.487066651
81	0.4855476252
82	0.4839125445
83	0.4830322651
84	0.4819471442
85	0.4803165782
86	0.4788122989
87	0.4783375576
88	0.4774687771
89	0.4767907225
90	0.4756797457
91	0.4746078524
92	0.4739234197
93	0.4725812947
94	0.4715544742
95	0.4704643915
96	0.4703042697
97	0.468914927
98	0.4682693357
99	0.4669995592
100	0.4663034809
101	0.4654386767
102	0.4644561349
103	0.4634770028
104	0.4626074687
105	0.4616249769
106	0.4607142552
107	0.4601429003
108	0.4598364293
109	0.4587025913
110	0.4576530293
111	0.4570497525
112	0.4561528381
113	0.4551099595
114	0.4545327546
115	0.453543983
116	0.4532374752
117	0.4527189746
118	0.4520794188
119	0.4513459485
120	0.4507681311
121	0.4499517711
122	0.4494785443
123	0.449207031
124	0.4484809063
125	0.4473413285
126	0.4464412628
127	0.4455117756
128	0.4448641131
129	0.4438362815
130	0.4434770448
131	0.4432024824
132	0.4424445201
133	0.4418853328
134	0.4412431715
135	0.4404310415
136	0.4392401337
137	0.4385951008
138	0.4376576218
139	0.4369002727
140	0.4366560262
141	0.435701582
142	0.4355011099
143	0.4349255804
144	0.434494895
145	0.4342214435
146	0.4338174436
147	0.4336599184
148	0.4332350078
149	0.4324819833
150	0.4318073789
151	0.4312166215
152	0.4304543879
153	0.4303691975
154	0.4298503796
155	0.429128477
156	0.4284746386
157	0.4273893323
158	0.4261093922
159	0.4256780185
160	0.4248535814
161	0.4240395599
162	0.4235026275
163	0.4230776102
164	0.422665027
165	0.4221872439
166	0.4215021645
167	0.4212818676
168	0.4209950157
169	0.4205343714
170	0.4202105922
171	0.4199502506
172	0.4195428944
173	0.4191934032
174	0.4189690652
175	0.4188804418
176	0.4183759343
177	0.4182894751
178	0.4176437452
179	0.4171628262
180	0.4164764777
181	0.4164277186
182	0.4160029575
183	0.41573856
184	0.4152146734
185	0.4150029339
186	0.4149857968
187	0.4145805412
188	0.4144571026
189	0.4139570698
190	0.4138949313
191	0.4134691305
192	0.4133010725
193	0.4131206186
194	0.4126713034
195	0.4117866563
196	0.4116028116
197	0.4107917295
198	0.4105404421
199	0.4099730115
200	0.409704334
201	0.4093373738
202	0.40928526
203	0.4087779997
204	0.4086063793
205	0.4084760179
206	0.4081115326
207	0.4077346542
208	0.4076779583
209	0.407621083
210	0.407441605
211	0.407055783
212	0.4068923888
213	0.4061254184
214	0.4055744436
215	0.4052470357
216	0.4051747481
217	0.4049723913
218	0.4048139557
219	0.4045465734
220	0.4044197687
