iter	Passed	Remaining
0	193	193147
1	214	107174
2	230	76678
3	254	63423
4	271	54003
5	290	48107
6	299	42554
7	318	39463
8	334	36854
9	351	34767
10	366	32993
11	383	31578
12	400	30376
13	416	29303
14	433	28490
15	442	27212
16	450	26073
17	461	25199
18	490	25334
19	504	24707
20	510	23785
21	516	22942
22	529	22501
23	545	22195
24	556	21707
25	572	21448
26	603	21740
27	634	22017
28	651	21809
29	667	21580
30	675	21108
31	686	20771
32	702	20591
33	718	20416
34	735	20290
35	756	20262
36	776	20215
37	786	19906
38	810	19974
39	835	20061
40	841	19678
41	855	19523
42	865	19264
43	881	19149
44	903	19163
45	924	19174
46	940	19065
47	958	19009
48	966	18766
49	981	18653
50	1021	18998
51	1049	19126
52	1067	19072
53	1086	19032
54	1111	19091
55	1135	19135
56	1161	19223
57	1182	19197
58	1202	19177
59	1219	19098
60	1236	19027
61	1257	19031
62	1280	19041
63	1298	18987
64	1314	18913
65	1324	18747
66	1339	18654
67	1355	18572
68	1370	18493
69	1386	18421
70	1392	18226
71	1408	18157
72	1425	18104
73	1439	18011
74	1457	17976
75	1465	17822
76	1481	17764
77	1500	17735
78	1512	17636
79	1529	17593
80	1546	17550
81	1563	17498
82	1591	17579
83	1617	17634
84	1634	17595
85	1650	17545
86	1669	17516
87	1675	17364
88	1692	17321
89	1707	17265
90	1724	17222
91	1741	17186
92	1748	17056
93	1767	17037
94	1784	16996
95	1815	17093
96	1823	16973
97	1839	16932
98	1848	16818
99	1864	16776
100	1883	16760
101	1907	16794
102	1926	16781
103	1944	16752
104	1961	16717
105	1982	16722
106	2017	16838
107	2040	16851
108	2046	16726
109	2063	16692
110	2080	16659
111	2093	16601
112	2123	16671
113	2141	16642
114	2158	16608
115	2174	16572
116	2183	16479
117	2194	16405
118	2211	16371
119	2227	16336
120	2244	16304
121	2261	16273
122	2278	16246
123	2293	16199
124	2310	16174
125	2331	16174
126	2360	16225
127	2378	16205
128	2395	16174
129	2412	16142
130	2428	16112
131	2440	16050
132	2492	16246
133	2511	16229
134	2552	16358
135	2572	16341
136	2588	16307
137	2605	16273
138	2623	16249
139	2644	16243
140	2661	16214
141	2694	16277
142	2703	16200
143	2718	16160
144	2734	16125
145	2750	16089
146	2766	16051
147	2774	15971
148	2790	15940
149	2821	15986
150	2851	16031
151	2869	16007
152	2900	16059
153	2909	15983
154	2926	15953
155	2943	15924
156	2959	15891
157	2977	15867
158	3000	15869
159	3022	15868
160	3045	15872
161	3071	15888
162	3123	16036
163	3143	16023
164	3178	16087
165	3203	16094
166	3226	16095
167	3244	16065
168	3272	16090
169	3289	16058
170	3304	16018
171	3316	15965
172	3334	15939
173	3350	15902
174	3360	15843
175	3366	15760
176	3382	15726
177	3408	15740
178	3425	15709
179	3459	15757
180	3476	15728
181	3482	15650
182	3499	15622
183	3516	15596
184	3535	15574
185	3552	15547
186	3556	15460
187	3572	15428
188	3583	15374
189	3600	15347
190	3608	15285
191	3625	15257
192	3642	15229
193	3658	15199
194	3674	15170
195	3706	15205
196	3737	15234
197	3770	15272
198	3803	15309
199	3833	15333
200	3850	15305
201	3866	15274
202	3872	15204
203	3890	15179
204	3908	15156
205	3924	15126
206	3941	15099
207	3973	15129
208	3989	15099
209	4003	15060
210	4019	15031
211	4036	15003
212	4053	14975
213	4069	14947
214	4086	14920
215	4103	14893
216	4119	14865
217	4137	14843
218	4155	14820
219	4174	14800
220	4192	14776
221	4208	14747
222	4224	14721
223	4240	14690
224	4258	14667
225	4274	14640
226	4291	14613
